"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 07, 2020","8,198.0","8,220.0","8,283.0","8,181.0","3.85M","-1.09%"
"Sep 04, 2020","8,288.0","8,288.0","8,345.0","8,232.0","4.93M","-1.64%"
"Sep 03, 2020","8,426.0","8,495.0","8,495.0","8,381.0","3.83M","0.07%"
"Sep 02, 2020","8,420.0","8,440.0","8,446.0","8,396.0","3.84M","0.85%"
"Sep 01, 2020","8,349.0","8,305.0","8,352.0","8,233.0","3.93M","0.48%"
"Aug 31, 2020","8,309.0","8,402.0","8,421.0","8,293.0","4.52M","0.35%"
"Aug 28, 2020","8,280.0","8,501.0","8,545.0","8,223.0","7.16M","-3.26%"
"Aug 27, 2020","8,559.0","8,650.0","8,679.0","8,498.0","4.69M","-0.14%"
"Aug 26, 2020","8,571.0","8,495.0","8,572.0","8,469.0","4.65M","1.76%"
"Aug 25, 2020","8,423.0","8,450.0","8,478.0","8,376.0","3.67M","0.19%"
"Aug 24, 2020","8,407.0","8,300.0","8,413.0","8,257.0","3.72M","1.48%"
"Aug 21, 2020","8,284.0","8,351.0","8,370.0","8,263.0","5.76M","-0.84%"
"Aug 20, 2020","8,354.0","8,526.0","8,535.0","8,300.0","8.10M","-2.02%"
"Aug 19, 2020","8,526.0","8,618.0","8,672.0","8,525.0","7.47M","-2.76%"
"Aug 18, 2020","8,768.0","8,801.0","8,818.0","8,722.0","4.06M","-0.66%"
"Aug 17, 2020","8,826.0","8,852.0","8,920.0","8,819.0","3.74M","-0.56%"
"Aug 14, 2020","8,876.0","8,811.0","8,910.0","8,766.0","6.01M","2.02%"
"Aug 13, 2020","8,700.0","8,651.0","8,730.0","8,636.0","6.23M","2.81%"
"Aug 12, 2020","8,462.0","8,534.0","8,535.0","8,426.0","4.56M","-0.88%"
"Aug 11, 2020","8,537.0","8,516.0","8,540.0","8,429.0","5.23M","0.14%"
"Aug 07, 2020","8,525.0","8,406.0","8,542.0","8,389.0","5.04M","0.67%"
"Aug 06, 2020","8,468.0","8,650.0","8,654.0","8,459.0","4.71M","-0.91%"
"Aug 05, 2020","8,546.0","8,704.0","8,838.0","8,485.0","10.34M","-1.61%"
"Aug 04, 2020","8,686.0","8,592.0","8,705.0","8,513.0","10.12M","4.47%"
"Aug 03, 2020","8,314.0","8,206.0","8,352.0","8,163.0","5.73M","2.95%"
